Date,Ozone,long_gap
2024-01-28 00:00:00+00:00,48.25,False
2024-01-29 00:00:00+00:00,43.89166666666667,False
2024-01-30 00:00:00+00:00,33.68695652173913,False
2024-01-31 00:00:00+00:00,18.689473684210526,False
2024-02-01 00:00:00+00:00,44.61666666666667,False
2024-02-02 00:00:00+00:00,59.37826086956522,False
2024-02-03 00:00:00+00:00,46.291666666666664,False
2024-02-04 00:00:00+00:00,41.975,False
2024-02-05 00:00:00+00:00,22.63913043478261,False
2024-02-06 00:00:00+00:00,21.308333333333334,False
2024-02-07 00:00:00+00:00,32.487500000000004,False
2024-02-08 00:00:00+00:00,39.12173913043478,False
2024-02-09 00:00:00+00:00,59.14166666666667,False
2024-02-10 00:00:00+00:00,49.52916666666667,False
2024-02-11 00:00:00+00:00,48.86086956521739,False
2024-02-12 00:00:00+00:00,26.270833333333332,False
2024-02-13 00:00:00+00:00,36.0875,False
2024-02-14 00:00:00+00:00,20.356521739130436,False
2024-02-15 00:00:00+00:00,34.72083333333334,False
2024-02-16 00:00:00+00:00,33.175000000000004,False
2024-02-17 00:00:00+00:00,49.85217391304347,False
2024-02-18 00:00:00+00:00,44.26666666666667,False
2024-02-19 00:00:00+00:00,55.0875,False
2024-02-20 00:00:00+00:00,64.14782608695653,False
2024-02-21 00:00:00+00:00,53.14166666666667,False
2024-02-22 00:00:00+00:00,56.9125,False
2024-02-23 00:00:00+00:00,65.4695652173913,False
2024-02-24 00:00:00+00:00,43.67916666666667,False
2024-02-25 00:00:00+00:00,39.3375,False
2024-02-26 00:00:00+00:00,34.77391304347826,False
2024-02-27 00:00:00+00:00,19.91111111111111,False
2024-02-28 00:00:00+00:00,37.97083333333333,False
2024-02-29 00:00:00+00:00,56.03055555555556,False
2024-03-01 00:00:00+00:00,74.09027777777777,False
2024-03-02 00:00:00+00:00,92.15,False
2024-03-03 00:00:00+00:00,65.38260869565217,False
2024-03-04 00:00:00+00:00,52.96666666666667,False
